SPX 8/7/2018,NAME,GICS_SECTOR_NAME
GS UN Equity,GOLDMAN SACHS GROUP INC,Financials
SBAC UW Equity,SBA COMMUNICATIONS CORP,Real Estate
SRE UN Equity,SEMPRA ENERGY,Utilities
BKNG UW Equity,BOOKING HOLDINGS INC,Consumer Discretionary
FFIV UW Equity,F5 NETWORKS INC,Information Technology
AKAM UW Equity,AKAMAI TECHNOLOGIES INC,Information Technology
DVN UN Equity,DEVON ENERGY CORP,Energy
GOOGL UW Equity,ALPHABET INC-CL A,Communication Services
RHT UN Equity,RED HAT INC,Information Technology
ALLE UN Equity,ALLEGION PLC,Industrials
NFLX UW Equity,NETFLIX INC,Communication Services
A UN Equity,AGILENT TECHNOLOGIES INC,Health Care
ANTM UN Equity,ANTHEM INC,Health Care
CME UW Equity,CME GROUP INC,Financials
JNPR UN Equity,JUNIPER NETWORKS INC,Information Technology
BLK UN Equity,BLACKROCK INC,Financials
DTE UN Equity,DTE ENERGY COMPANY,Utilities
NDAQ UW Equity,NASDAQ INC,Financials
PM UN Equity,PHILIP MORRIS INTERNATIONAL,Consumer Staples
CRM UN Equity,SALESFORCE.COM INC,Information Technology
HII UN Equity,HUNTINGTON INGALLS INDUSTRIE,Industrials
MET UN Equity,METLIFE INC,Financials
UA UN Equity,UNDER ARMOUR INC-CLASS C,Consumer Discretionary
TPR UN Equity,TAPESTRY INC,Consumer Discretionary
FLR UN Equity,FLUOR CORP,Industrials
CSX UW Equity,CSX CORP,Industrials
EW UN Equity,EDWARDS LIFESCIENCES CORP,Health Care
AMP UN Equity,AMERIPRISE FINANCIAL INC,Financials
COL UN Equity,ROCKWELL COLLINS INC,Industrials
FTI UN Equity,TECHNIPFMC PLC,Energy
ZBH UN Equity,ZIMMER BIOMET HOLDINGS INC,Health Care
CBRE UN Equity,CBRE GROUP INC - A,Real Estate
MA UN Equity,MASTERCARD INC - A,Information Technology
KMX UN Equity,CARMAX INC,Consumer Discretionary
ICE UN Equity,INTERCONTINENTAL EXCHANGE IN,Financials
FIS UN Equity,FIDELITY NATIONAL INFO SERV,Information Technology
CMG UN Equity,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary
WYNN UW Equity,WYNN RESORTS LTD,Consumer Discretionary
AIZ UN Equity,ASSURANT INC,Financials
NRG UN Equity,NRG ENERGY INC,Utilities
MNST UW Equity,MONSTER BEVERAGE CORP,Consumer Staples
RF UN Equity,REGIONS FINANCIAL CORP,Financials
MOS UN Equity,MOSAIC CO/THE,Materials
EXPE UW Equity,EXPEDIA GROUP INC,Consumer Discretionary
EVRG UN Equity,EVERGY INC,Utilities
DISCA UW Equity,DISCOVERY INC - A,Communication Services
CF UN Equity,CF INDUSTRIES HOLDINGS INC,Materials
VIAB UW Equity,VIACOM INC-CLASS B,Communication Services
GOOG UW Equity,ALPHABET INC-CL C,Communication Services
TEL UN Equity,TE CONNECTIVITY LTD,Information Technology
COO UN Equity,COOPER COS INC/THE,Health Care
DFS UN Equity,DISCOVER FINANCIAL SERVICES,Financials
TRIP UW Equity,TRIPADVISOR INC,Communication Services
V UN Equity,VISA INC-CLASS A SHARES,Information Technology
MAA UN Equity,MID-AMERICA APARTMENT COMM,Real Estate
XYL UN Equity,XYLEM INC,Industrials
MPC UN Equity,MARATHON PETROLEUM CORP,Energy
TSCO UW Equity,TRACTOR SUPPLY COMPANY,Consumer Discretionary
